Player_Name,Team,Number,Position,Salary,Height,Weight,Birthdate,Age,Experience,College,City,State,Race
"Abdullah, Husain",KC,39,S,715000,72,204,7/27/1985,28,5,Washington State,"Los Angeles, CA",california,Black
"Abdul-Quddus, Isa",NO,42,S,465000,73,205,8/3/1989,24,3,Fordham,"Newark, New Jersey",new jersey,Black
"Aboushi, Oday",NYJ,75,OL,589750,77,308,6/5/1991,22,0,Virginia,"Brooklyn, NY",new york,Other
"Abraham, John",ARI,55,DE,2300000,76,263,5/6/1978,35,14,South Carolina,"Timmonsville, SC",south carolina,Black
"Acho, Emmanuel",PHI,53,LB,525920,74,240,11/10/1990,23,2,Texas,"Dallas, TX",texas,Black
"Acho, Sam",ARI,94,LB,628607,75,257,9/6/1988,25,3,Texas,"Hawthorn Woods, IL",illinois,Black
"Adams, Joe",CAR,15,WR,641888,71,185,11/22/1989,24,2,Arkansas,"Little Rock, AR",arkansas,Black
"Adams, Kris",NYG,89,WR,510000,75,194,9/4/1987,26,2,Texas-El Paso,"Fort Worth, TX",texas,Black
"Adams, Kyle",CHI,86,TE,465000,76,255,1/19/1988,25,3,Purdue,"Austin, TX",texas,White
"Adams, Michael",TB,27,CB,,68,181,6/17/1985,28,7,Louisiana-Lafayette,"Dallas, TX",texas,Black
"Adams, Mike",DEN,20,S,2000000,71,200,3/24/1981,32,10,Delaware,"Patterson, NJ",new jersey,Black
"Adams, Mike",PIT,76,OL,885913,79,323,3/10/1990,23,2,Ohio State,"Farrell, PA",pennsylvania,Black
"Adams, Phillip",OAK,28,CB,630000,71,195,7/20/1988,25,4,South Carolina State,"Rock Hill, SC",south carolina,Black
"Addae, Jahleel",SD,37,CB,,70,195,1/24/1990,23,0,Central Michigan,,,Black
"Addison, Mario",CAR,97,DE,555000,75,260,9/6/1987,26,3,Troy,"Birmingham, AL",alabama,Black
"Aiken, Danny",NE,48,LS,465000,76,260,8/28/1988,25,3,Virginia,"Oxford, CT",connecticut,White
"Aiken, Kamar",NE,16,WR,472500,74,213,5/30/1989,24,3,Central Florida,"Hollywood, FL",florida,Black
"Akers, David",DET,2,K,1005000,70,200,12/9/1974,39,16,Louisville,"Lexington, KY",kentucky,Black
"Akins, C.J.",STL,,WR,495667,73,200,5/10/1991,22,0,Angelo State,,,Black
"Albert, Branden",KC,76,OL,9828000,77,316,11/4/1984,29,6,Virginia,"Rochester, NY",new york,Black
"Albright, Alex",DAL,55,LB,465500,77,254,1/29/1988,25,3,Boston College,"Cincinnati, OH",ohio,White
"Alexander, Danario",SD,84,WR,1323000,77,217,8/7/1988,25,4,Missouri,"Waco, TX",texas,Black
"Alexander, Frank",CAR,90,DE,642563,76,270,12/17/1989,24,2,Oklahoma,"Zachary, LA",louisiana,Black
"Alexander, Lorenzo",ARI,97,LB,3166667,73,244,5/31/1983,30,7,California,"Oakland, CA",california,Black
"Alford, Robert",ATL,23,CB,850350,70,186,11/1/1988,25,0,Southeastern Louisiana,"Hammond, LA",louisiana,Black
"Allen, Antonio",NYJ,39,S,536474,73,210,9/23/1988,25,2,South Carolina,"Ocala, FL",florida,Black
"Allen, Cortez",PIT,28,CB,607875,73,196,10/29/1988,25,3,The Citadel,"San Diego, CA",california,Black
"Allen, Dwayne",IND,83,TE,770076,75,265,2/24/1990,23,2,Clemson,"Fayetteville, NC",north carolina,Black
"Allen, Jared",MIN,69,DE,12210012,78,270,4/3/1982,31,10,Idaho State,"Dallas, TX",texas,White
"Allen, Jeff",KC,71,OL,1160956,76,306,1/8/1990,23,2,Illinois,"Chicago, IL",illinois,Black
"Allen, Keenan",SD,13,WR,704700,74,211,4/27/1992,21,,California,"Greensboro, NC",north carolina,Black
"Allen, Nate",PHI,29,S,1261000,73,210,11/30/1987,26,4,South Florida,"Fort Myers, FL",florida,Black
"Allen, Russell",JAC,50,LB,2000000,75,238,5/5/1986,27,5,San Diego State,"Upland, CA",california,White
"Allen, Ryan",NE,6,P,495500,74,215,2/28/1990,23,0,Louisiana Tech,"Salem, OR",oregon,White
"Allen, Will",DAL,26,S,905000,73,203,6/17/1982,31,10,Ohio State,"Dayton, OH",ohio,Black
"Alonso, Kiko",BUF,50,LB,1075100,75,238,8/14/1990,23,0,Oregon,"Newton, MA",massachusetts,White
"Alualu, Tyson",JAC,93,DL,5600000,75,295,5/12/1987,26,4,California,"Honolulu, HI",hawaii,Pacific Islander
"Amendola, Danny",NE,80,WR,5700000,71,188,11/2/1985,28,5,Texas Tech,"The Woodlands, TX",texas,White
"Amerson, David",WAS,39,CB,962726,73,205,12/8/1991,22,0,North Carolina State,"Honolulu, HI",hawaii,Black
"Amukamara, Prince",NYG,20,CB,2045000,72,207,6/6/1989,24,3,Nebraska,"Leominster, MA",massachusetts,Black
"Anderson, C.J.",DEN,39,RB,499167,68,224,2/10/1991,22,0,California,,,Black
"Anderson, Colt",PHI,30,S,1000000,70,194,10/25/1985,28,4,Montana,"Butte, MT",,White
"Anderson, Derek",CAR,3,QB,840000,78,240,6/15/1983,30,9,Oregon State,"Portland, OR",oregon,Black
"Anderson, James",CHI,50,LB,1250000,74,235,9/26/1983,30,8,Virginia Tech,"Roanoke Rapids, NC",north carolina,Black
"Anderson, Joe",CHI,19,WR,435000,73,196,11/21/1988,25,1,Texas Southern,"Texarkana, TX",texas,Black
"Anderson, Justin",IND,67,OL,525000,77,340,4/15/1988,25,1,Georgia,"Ocilla, GA",georgia,Black
"Anger, Bryan",JAC,19,P,719292,75,202,10/6/1988,25,2,California,"Camarillo, CA",california,White
"Angerer, Pat",IND,51,LB,822500,72,236,1/31/1987,26,4,Iowa,"Bettendorf, IA",iowa,White
"Ansah, Ezekiel",DET,94,DE,4648629,77,271,5/29/1989,24,0,Brigham Young,"Ghana, Africa",Africa,Black
"Arenas, Javier",ARI,35,CB,949604,69,197,10/28/1987,26,4,Alabama,"Tampa, FL",florida,Black
"Arkin, David",DAL,62,OL,638400,77,310,10/7/1987,26,2,Missouri State,"Wichita, KS",kansas,White
"Armstead, Terron",NO,72,OL,716859,77,304,7/23/1991,22,0,Arkansas-Pine Bluff,"Cahokia, IL",illinois,Black
"Armstrong, Ray-Ray",STL,50,LB,495000,75,227,3/5/1991,22,0,Miami (Fla.),"Sanford, FL",florida,Black
"Arrington, Kyle",NE,25,CB,4000000,70,195,8/12/1986,27,5,Hofstra,"Accokeek, MD",maryland,Black
"Asamoah, Jon",KC,73,OL,886280,76,305,7/21/1988,25,4,Illinois,"Matteson, IL",illinois,Black
"Ashford, Perez",SEA,,WR,,71,182,3/2/1991,22,0,Northern Illinois,"Cleveland, OH",ohio,Black
"Asiata, Matt",MIN,44,RB,435000,72,234,7/24/1987,26,2,Utah,"Garden Grove, CA",california,Pacific Islander
"Asomugha, Nnamdi",SF,24,CB,1775000,74,210,7/6/1981,32,11,California,"Lafayette, LA",louisiana,Black
"Atkins, Baraka",NO,98,DE,555000,76,265,9/28/1984,29,3,Miami (Fla.),"Sarasota, FL",florida,Black
"Atkins, Geno",CIN,97,DL,801363,73,303,3/28/1988,25,4,Georgia,"Pembroke Pines, FL",florida,Black
"Aubrey, Josh",CLE,37,CB,,70,200,4/9/1991,22,0,Stephen F. Austin St.,"Terrell, TX",texas,Black
"Ausberry, David",OAK,86,TE,521475,76,258,9/25/1987,26,3,USC,"Strasburg, VA",virginia,Black
"Austin, Marvin",NYG,96,DL,918750,74,312,1/10/1989,24,3,North Carolina,"Washington, DC",DC,Black
"Austin, Miles",DAL,19,WR,7728571,74,216,6/30/1984,29,8,Monmouth (N.J.),"Summit, NJ",new jersey,Mixed
"Austin, Tavon",STL,11,WR,3187751,68,174,3/15/1991,22,0,West Virginia,"Baltimore, MD",maryland,Black
"Avant, Jason",PHI,81,WR,2950000,72,212,4/20/1983,30,8,Michigan,"Chicago, IL",illinois,Black
"Avery, Donnie",KC,17,WR,2850000,71,200,6/12/1984,29,5,Houston,"Houston, TX",texas,Black
"Avril, Cliff",SEA,56,DE,6500000,75,260,4/8/1986,27,6,Purdue,"Jacksonville, FL",florida,Black
"Ayers, Akeem",TEN,56,LB,1231627,75,254,7/10/1989,24,3,UCLA,"Los Angeles, CA",california,Black
"Ayers, Robert",DEN,91,DE,3100000,75,274,9/6/1985,28,5,Tennessee,"Clio, SC",south carolina,Black
"Baas, David",NYG,64,C,5500000,76,312,9/28/1981,32,9,Michigan,"Bixby, OK",oklahoma,White
"Babin, Jason",JAC,58,DE,5780000,75,267,5/24/1980,33,10,Western Michigan,"Kalamazoo, MI",michigan,White
"Babineaux, Jonathan",ATL,95,DL,5000000,74,300,10/12/1981,32,9,Iowa,"Port Arthur, TX",texas,Black
"Baca, Jeff",MIN,60,OL,564150,75,302,1/10/1990,23,0,UCLA,"Laguna Hills, CA",california,White
"Bademosi, Johnson",CLE,24,CB,480000,72,200,7/23/1990,23,2,Stanford,"Washington, DC",DC,Black
"Bailey, Allen",KC,97,DE,667736,75,288,3/25/1989,24,3,Miami (Fla.),"Sapelo Island, GA",georgia,Black
"Bailey, Alvin",SEA,78,OL,,75,321,8/29/1991,22,0,Arkansas,,,Black
"Bailey, Champ",DEN,24,CB,10750000,72,192,6/22/1978,35,15,Georgia,"Folkston, GA",georgia,Black
"Bailey, Dan",DAL,5,K,465833,72,191,1/26/1988,25,3,Oklahoma State,"Oklahoma City, OK",oklahoma,White
"Bailey, Patrick",TEN,57,LB,1100000,76,235,11/19/1985,28,6,Duke,"Elmendorf, TX",texas,White
"Bailey, Stedman",STL,12,WR,671850,70,193,11/11/1990,23,0,West Virginia,,,Black
"Bair, Brandon",OAK,75,DE,472500,78,285,11/24/1984,29,2,Oregon,"Rexburg, ID",indiana,White
"Baker, Chase",MIN,62,DL,450000,74,300,5/21/1988,25,1,Boise State,,,White
"Baker, Sam",ATL,72,OL,6808333,77,301,5/30/1985,28,6,USC,"Tustin, CA",california,White
"Bakhtiari, David",GB,69,OL,653850,76,300,9/30/1991,22,0,Colorado,"San Mateo, CA",california,Iranian
"Baldwin, Doug",SEA,89,WR,470833,70,189,9/21/1988,25,3,Stanford,"Gulf Breeze, FL",florida,Black
"Ball, Alan",JAC,23,CB,1000000,74,197,3/29/1985,28,6,Illinois,"Detroit, MI",michigan,Black
"Ball, David",PHI,83,WR,,73,200,6/6/1984,29,1,New Hampshire,"Berlin, VT",Vermont,White
"Ball, Montee",DEN,38,RB,866082,70,215,12/5/1990,23,0,Wisconsin,"Wentzville, MO",missouri,Black
"Ballard, Vick",IND,33,RB,561140,70,224,7/16/1990,23,2,Mississippi State,"West Point, NY",new york,Black
"Bamiro, Michael",PHI,72,OL,495333,80,335,10/9/1990,23,0,Stony Brook,"Brooklyn, NY",new york,Black
"Banjo, Chris",GB,,S,405000,70,204,2/26/1990,23,0,Southern Methodist,"Sugar Land, TX",texas,Black
"Banks, Johnthan",TB,27,C,1131580,74,185,10/3/1989,24,0,Mississippi State,"Maben, MS",mississippi,Black
"Barbre, Allen",PHI,76,OL,722500,76,310,6/22/1984,29,6,Missouri Southern State,"Neosho, MO",missouri,White
"Barclay, Don",GB,67,OL,480833,76,305,4/18/1989,24,2,West Virginia,"Newport News, VA",virginia,White
"Barden, Ramses",NYG,85,WR,780000,78,224,1/1/1986,27,5,Cal Poly-S.L.O.,"Altadena, CA",california,Black
