Year,Neighborhood,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson,
2008,CedarRiverside,365,3,5,36,33,44,188,54,2,
2009,CedarRiverside,280,0,9,20,26,24,160,37,4,
2010,CedarRiverside,352,0,8,23,33,25,235,26,2,
2011,CedarRiverside,307,0,2,21,28,25,202,26,3,
2012,CedarRiverside,318,2,8,23,28,29,202,25,1,
2013,CedarRiverside,355,0,11,26,37,37,225,19,0,
2014,CedarRiverside,368,0,6,45,28,24,225,38,2,
2015,CedarRiverside,354,1,12,38,31,20,217,35,0,
2016,CedarRiverside,375,0,6,31,47,26,212,52,1,
2017,CedarRiverside,202,1,5,20,22,12,120,22,0,Need to add Feb - July
2018,CedarRiverside,,,,,,,,,,
2008,Como,296,0,5,14,6,94,137,39,1,
2009,Como,238,0,2,4,8,85,118,21,0,
2010,Como,329,0,2,4,5,126,156,35,1,
2011,Como,269,0,4,8,15,108,110,24,0,
2012,Como,274,0,4,13,11,72,136,38,0,
2013,Como,288,0,5,10,10,85,150,26,2,
2014,Como,216,0,6,8,12,67,106,17,0,
2015,Como,203,0,4,8,10,74,88,19,0,
2016,Como,315,0,5,10,21,87,145,47,0,
2017,Como,,,,,,,,,,
2008,MarcyHolmes,657,0,9,30,22,165,355,73,3,
2009,MarcyHolmes,549,0,4,26,14,145,304,54,2,
2010,MarcyHolmes,623,1,10,22,23,155,348,61,3,
2011,MarcyHolmes,703,2,6,44,16,192,383,59,1,
2012,MarcyHolmes,667,0,4,31,17,151,408,55,1,
2013,MarcyHolmes,627,0,7,26,18,104,431,41,0,
2014,MarcyHolmes,530,0,16,22,18,111,322,41,0,
2015,MarcyHolmes,516,0,13,34,19,106,316,27,1,
2016,MarcyHolmes,624,1,12,33,19,98,405,56,0,
2008,ProspectPark,286,0,4,12,5,45,177,42,1,
2009,ProspectPark,306,1,3,18,11,62,183,27,1,
2010,ProspectPark,320,0,7,12,2,65,202,32,0,
2011,ProspectPark,321,0,4,7,5,64,209,30,2,
2012,ProspectPark,326,0,3,10,16,58,209,29,1,
2013,ProspectPark,249,0,6,12,11,37,165,18,0,
2014,ProspectPark,288,0,3,9,9,60,172,34,1,
2015,ProspectPark,267,0,2,13,9,54,165,24,0,
2016,ProspectPark,349,1,7,19,12,37,238,34,1,
2008,UofMN,107,0,0,3,7,13,81,3,0,
2009,UofMN,94,0,0,0,4,10,78,2,0,
2010,UofMN,105,0,8,3,1,10,79,4,0,
2011,UofMN,125,0,7,2,3,17,89,7,0,
2012,UofMN,87,0,3,1,3,10,60,9,1,
2013,UofMN,103,0,2,5,3,16,71,6,0,
2014,UofMN,106,0,1,2,2,8,86,7,0,
2015,UofMN,81,0,1,5,1,1,70,3,0,
2016,UofMN,133,1,2,2,4,20,99,5,0,
