actor,film,year,age
Emil Jannings,"The Last Command, The Way of All Flesh",1927,44
Warner Baxter,In Old Arizona,1928,41
George Arliss,Disraeli,1929,62
Lionel Barrymore,A Free Soul,1930,53
Wallace Beery,The Champ,1931,47
Fredric March,Dr. Jekyll and Mr. Hyde,1932,35
Charles Laughton,The Private Life of Henry VIII,1933,34
Clark Gable,It Happened One Night,1934,34
Victor McLaglen,The Informer,1935,39
Paul Muni,The Story of Louis Pasteur,1936,41
Spencer Tracy,Captains Courageous,1937,37
Spencer Tracy,Boys Town,1938,38
Robert Donat,"Goodbye, Mr. Chips",1939,34
James Stewart,The Philadelphia Story,1940,32
Gary Cooper,Sergeant York,1941,40
James Cagney,Yankee Doodle Dandy,1942,43
Paul Lukas,Watch on the Rhine,1943,48
Bing Crosby,Going My Way,1944,41
Ray Milland,The Lost Weekend,1945,39
Fredric March,The Best Years of Our Lives,1946,49
Ronald Colman,A Double Life,1947,57
Laurence Olivier,Hamlet,1948,41
Broderick Crawford,All the King's Men,1949,38
José Ferrer,Cyrano de Bergerac,1950,39
Humphrey Bogart,The African Queen,1951,52
Gary Cooper,High Noon,1952,51
William Holden,Stalag 17,1953,35
Marlon Brando,On the Waterfront,1954,30
Ernest Borgnine,Marty,1955,39
Yul Brynner,The King and I,1956,36
Alec Guinness,The Bridge on the River Kwai,1957,43
David Niven,Separate Tables,1958,49
Charlton Heston,Ben-Hur,1959,36
Burt Lancaster,Elmer Gantry,1960,47
Maximilian Schell,Judgment at Nuremberg,1961,31
Gregory Peck,To Kill a Mockingbird,1962,47
Sidney Poitier,Lilies of the Field,1963,37
Rex Harrison,My Fair Lady,1964,57
Lee Marvin,Cat Ballou,1965,42
Paul Scofield,A Man for All Seasons,1966,45
Rod Steiger,In the Heat of the Night,1967,42
Cliff Robertson,Charly,1968,45
John Wayne,True Grit,1969,62
George C. Scott,Patton,1970,43
Gene Hackman,The French Connection,1971,42
Marlon Brando,The Godfather,1972,48
Jack Lemmon,Save the Tiger,1973,49
Art Carney,Harry and Tonto,1974,56
Jack Nicholson,One Flew Over the Cuckoo's Nest,1975,38
Peter Finch,Network,1976,60
Richard Dreyfuss,The Goodbye Girl,1977,30
Jon Voight,Coming Home,1978,40
Dustin Hoffman,Kramer vs. Kramer,1979,42
Robert De Niro,Raging Bull,1980,37
Henry Fonda,On Golden Pond,1981,76
Ben Kingsley,Gandhi,1982,39
Robert Duvall,Tender Mercies,1983,53
F. Murray Abraham,Amadeus,1984,45
William Hurt,Kiss of the Spider Woman,1985,36
Paul Newman,The Color of Money,1986,62
Michael Douglas,Wall Street,1987,43
Dustin Hoffman,Rain Man,1988,51
Daniel Day-Lewis,My Left Foot,1989,32
Jeremy Irons,Reversal of Fortune,1990,42
Anthony Hopkins,The Silence of the Lambs,1991,45
Al Pacino,Scent of a Woman,1992,52
Tom Hanks,Philadelphia,1993,37
Tom Hanks,Forrest Gump,1994,38
Nicolas Cage,Leaving Las Vegas,1995,32
Geoffrey Rush,Shine,1996,45
Jack Nicholson,As Good as It Gets,1997,60
Roberto Benigni,Life Is Beautiful,1998,46
Kevin Spacey,American Beauty,1999,40
Russell Crowe,Gladiator,2000,36
Denzel Washington,Training Day,2001,47
Adrien Brody,The Pianist,2002,29
Sean Penn,Mystic River,2003,43
Jamie Foxx,Ray,2004,37
Philip Seymour Hoffman,Capote,2005,38
Forest Whitaker,The Last King of Scotland,2006,45
Daniel Day-Lewis,There Will Be Blood,2007,50
Sean Penn,Milk,2008,48
Jeff Bridges,Crazy Heart,2009,60
Colin Firth,The King's Speech,2010,50
Jean Dujardin,The Artist,2011,39
Daniel Day-Lewis,Lincoln,2012,55
Matthew McConaughey,Dallas Buyers Club,2013,44
Eddie Redmayne,The Theory of Everything,2014,33
Leonardo DiCaprio,The Revenant,2015,41
Casey Affleck,Manchester by the Sea,2016,41
Gary Oldman,Darkest Hour,2017,59
Rami Malek,Bohemian Rhapsody,2018,37
Joaquin Phoenix,Joker,2019,45
