Actress,Film,Year,Age
Janet Gaynor,"Seventh Heaven, Street Angel, and Sunrise: A Song of Two Humans",1928,22
Mary Pickford,Coquette,1929,37
Norma Shearer,The Divorcee,1930,28
Marie Dressler,Min and Bill,1931,63
Helen Hayes,The Sin of Madelon Claudet,1932,32
Katharine Hepburn,Morning Glory,1933,26
Claudette Colbert,It Happened One Night,1934,31
Bette Davis,Dangerous,1935,27
Luise Rainer,The Great Ziegfeld,1936,27
Luise Rainer,The Good Earth,1937,28
Bette Davis,Jezebel,1938,30
Vivien Leigh,Gone with the Wind,1939,26
Ginger Rogers,Kitty Foyle,1940,29
Joan Fontaine,Suspicion,1941,24
Greer Garson,Mrs. Miniver,1942,38
Jennifer Jones,The Song of Bernadette,1943,25
Ingrid Bergman,Gaslight,1944,29
Joan Crawford,Mildred Pierce,1945,40
Olivia de Havilland,To Each His Own,1946,30
Loretta Young,The Farmer's Daughter,1947,35
Jane Wyman,Johnny Belinda,1948,32
Olivia de Havilland,The Heiress,1949,33
Judy Holliday,Born Yesterday,1950,29
Vivien Leigh,A Streetcar Named Desire,1951,38
Shirley Booth,"Come Back, Little Sheba",1952,54
Audrey Hepburn,Roman Holiday,1953,24
Grace Kelly,The Country Girl,1954,25
Anna Magnani,The Rose Tattoo,1955,48
Ingrid Bergman,Anastasia,1956,41
Joanne Woodward,The Three Faces of Eve,1957,28
Susan Hayward,I Want to Live!,1958,41
Simone Signoret,Room at the Top,1959,39
Elizabeth Taylor,BUtterfield 8,1960,29
Sophia Loren,Two Women,1961,27
Anne Bancroft,The Miracle Worker,1962,31
Patricia Neal,Hud,1963,38
Julie Andrews,Mary Poppins,1964,29
Julie Christie,Darling,1965,25
Elizabeth Taylor,Who's Afraid of Virginia Woolf?,1966,35
Katharine Hepburn,Guess Who's Coming to Dinner,1967,60
Katharine Hepburn,The Lion in Winter,1968,61
Barbra Streisand,Funny Girl,1968,26
Maggie Smith,The Prime of Miss Jean Brodie,1969,35
Glenda Jackson,Women in Love,1970,34
Jane Fonda,Klute,1971,34
Liza Minnelli,Cabaret,1972,27
Glenda Jackson,A Touch of Class,1973,37
Ellen Burstyn,Alice Doesn't Live Here Anymore,1974,42
Louise Fletcher,One Flew Over the Cuckoo's Nest,1975,41
Faye Dunaway,Network,1976,36
Diane Keaton,Annie Hall,1977,32
Jane Fonda,Coming Home,1978,41
Sally Field,Norma Rae,1979,33
Sissy Spacek,Coal Miner's Daughter,1980,31
Katharine Hepburn,On Golden Pond,1981,74
Meryl Streep,Sophie's Choice,1982,33
Shirley MacLaine,Terms of Endearment,1983,49
Sally Field,Places in the Heart,1984,38
Geraldine Page,The Trip to Bountiful,1985,61
Marlee Matlin,Children of a Lesser God,1986,21
Cher,Moonstruck,1987,41
Jodie Foster,The Accused,1988,26
Jessica Tandy,Driving Miss Daisy,1989,80
Kathy Bates,Misery,1990,42
Jodie Foster,The Silence of the Lambs,1991,29
Emma Thompson,Howards End,1992,33
Holly Hunter,The Piano,1993,36
Jessica Lange,Blue Sky,1994,45
Susan Sarandon,Dead Man Walking,1995,49
Frances McDormand,Fargo,1996,39
Helen Hunt,As Good as It Gets,1997,34
Gwyneth Paltrow,Shakespeare in Love,1998,26
Hilary Swank,Boys Don't Cry,1999,25
Julia Roberts,Erin Brockovich,2000,33
Halle Berry,Monster's Ball,2001,35
Nicole Kidman,The Hours,2002,35
Charlize Theron,Monster,2003,28
Hilary Swank,Million Dollar Baby,2004,30
Reese Witherspoon,Walk the Line,2005,29
Helen Mirren,The Queen,2006,61
Marion Cotillard,La Vie en rose,2007,32
Kate Winslet,The Reader,2008,33
Sandra Bullock,The Blind Side,2009,45
Natalie Portman,Black Swan,2010,29
Meryl Streep,The Iron Lady,2011,62
Jennifer Lawrence,Silver Linings Playbook,2012,22
Cate Blanchett,Blue Jasmine,2013,44
Julianne Moore,Still Alice,2014,54
Brie Larson,Room,2015,26
Emma Stone,La La Land,2016,28
Frances McDormand,"Three Billboards Outside Ebbing, Missouri",2017,60
Olivia Colman,The Favourite,2018,45
Renee Zellweger,Judy,2019,50
