name,net_worth,age,source_wealth,inherited,sex,self_made_score,state,highest_degree,schooling
Jeff Bezos,112,54,Amazon.com,No,Male,8,Washington,Bachelors of Arts,Bachelors
Bill Gates,90,62,"Microsoft, Cascade Investment",No,Male,8,Washington,High School,High School
Warren Buffett,84,87,Berkshire Hathaway,No,Male,8,Nebraska,Masters of Science,Professional
Mark Zuckerberg,66.4,34,Facebook,No,Male,8,California,High School,High School
Larry Ellison,60.3,74,Oracle Corporation,No,Male,9,California,High School,High School
Larry Page,56.8,45,Google,No,Male,8,California,Masters of Science,Professional
Sergey Brin,55.2,45,Google,No,Male,9,California,Masters of Science,Professional
David H. Koch,54.5,78,Koch Industries,Yes,Male,5,New York,Masters of Science,Professional
Charles Koch,54.5,82,Koch Industries,Yes,Male,5,Kansas,Masters of Science,Professional
Michael Bloomberg,52.4,76,Bloomberg LP,No,Male,8,New York,Masters of Business Administration,Professional
Jim Walton,44.7,70,Walmart,Yes,Male,2,Arkansas,Bachelors of Arts,Bachelors
S. Robson Walton,44.4,73,Walmart,Yes,Male,4,Arkansas,Doctor of Jurisprudence,Professional
Alice Walton,44.3,68,Walmart,Yes,Female,1,Texas,Bachelors of Arts,Bachelors
Steve Ballmer,42.9,62,Microsoft,No,Male,6,Washington,Bachelors of Arts,Bachelors
Sheldon Adelson,38.3,85,Las Vegas Sands Corporation,No,Male,10,Nevada,High School,High School
Philip Knight,35.6,80,Nike,No,Male,8,Oregon,Masters of Business Administration,Professional
Michael Dell,24.5,53,Dell Technologies,No,Male,8,Texas,High School,High School
John Mars,23.8,82,Mars,Yes,Male,2,Wyoming,Bachelors of Arts,Bachelors
Jacqueline Mars,23.2,78,Mars,Yes,Female,2,Virginia,Bachelors of Arts,Bachelors
Leonard Blavatnik,20.9,61,Access Industries,No,Male,9,,Masters of Business Administration,Professional
Thomas Peterffy,20.6,73,Interactive Brokers,No,Male,10,Florida,High School,High School
Laurene Powell Jobs,20.5,54,Apple Inc,Yes,Female,1,California,Masters of Business Administration,Professional
Paul Allen,20.3,65,Microsoft,No,Male,8,Washington,High School,High School
James Simons,20,80,Renaissance Technologies,No,Male,8,New York,Doctorate,Professional
Elon Musk,19.9,47,"SpaceX, Tesla",No,Male,8,California,Bachelors of Arts,Bachelors
Carl Icahn,19.4,82,Icahn Enterprises,No,Male,9,New York,Bachelors of Arts,Bachelors
Harold Hamm,19,72,Continental Resources,No,Male,10,Oklahoma,High School,High School
Ray Dalio,18.1,69,Bridgewater Associates,No,Male,8,Connecticut,Masters of Business Administration,Professional
Rupert Murdock,17.9,87,21st Century Fox,No,Male,7,New York,Masters of Arts,Professional
Abigail Johnson,17.4,56,Fidelity Investments,Yes,Female,3,Massachusetts,Masters of Business Administration,Professional
Donald Bren,16.3,86,The Irvine Company,No,Male,,California,,
Lukas Walton,15.2,32,Walmart,Yes,Male,1,Wyoming,Bachelors of Arts,Bachelors
Eric Schmidt,15,63,Google,No,Male,6,California,Doctorate,Professional
Stephen Schwarzman,14.3,71,Blackstone Group,No,Male,8,New York,Masters of Business Administration,Professional
Dustin Moskovitz,14.1,34,Facebook,No,Male,8,California,High School,High School
Leonard Lauder,13.6,85,Estee Lauder,No,Male,5,New York,Bachelors of Arts,Bachelors
Steven Cohen,12.9,62,Point72 Asset Management,No,Male,8,Connecticut,Bachelors of Arts,Bachelors
Philip Anschutz,12,78,Anschutz Entertainment Group,No,Male,5,Colorado,Bachelors of Arts,Bachelors
John Menard,11.8,78,Menards,No,Male,9,Wisconsin,Bachelors of Arts,Bachelors
