Movie,Year,Tomato,Box,Adjusted_Box,Franchise
Halloween,1978,93,47,176.5,Halloween
Halloween II,1981,31,25.5,68.7,Halloween
Halloween III: Season of the Witch,1982,37,14.4,36.5,Halloween
Halloween 4: Return of Michael Myers,1988,29,17.8,36.8,Halloween
Halloween 5: Revenge of Michael Myers,1989,14,11.8,23.3,Halloween
Halloween 6: Curse of Michael Myers,1995,6,15.1,24.3,Halloween
Halloween H2O,1998,51,55,82.6,Halloween
Halloween: Ressurection,2002,12,30.4,41.4,Halloween
Halloween (Reboot),2007,25,58.3,68.8,Halloween
Halloween II (Reboot),2009,19,33.4,38.1,Halloween
Friday the 13th,1980,59,39.8,118.2,Friday the 13th
"Friday the 13th, Part 2",1981,34,21.7,58.4,Friday the 13th
"Friday the 13th, Part 3",1982,12,36.7,93.1,Friday the 13th
Friday the 13th: The Final Chapter,1984,25,32.9,77.5,Friday the 13th
"Friday the 13th, Part 5: A New Beginning",1985,16,21.9,49.8,Friday the 13th
"Friday the 13th, Part 6: Jason Lives",1986,52,19.5,43.6,Friday the 13th
"Friday the 13th, Part 7: The New Blood",1988,30,19.2,39.7,Friday the 13th
"Friday the 13th, Part 8: Jason Takes Manhattan",1989,8,14.3,28.2,Friday the 13th
Friday the 13th (Reboot),2009,25,65,74.2,Friday the 13th
Freddy vs. Jason,2003,41,82.6,109.9,A Nightmare on Elm Street
A Nightmare on Elm Street,1984,94,25.5,60.1,A Nightmare on Elm Street
A Nightmare on Elm Street 2: Freddy's Revenge,1985,40,30,68.3,A Nightmare on Elm Street
A Nightmare on Elm Street 3: Dream Warriors,1987,74,44.8,96.5,A Nightmare on Elm Street
A Nightmare on Elm Street 4: The Dream Master ,1988,56,49.4,102.2,A Nightmare on Elm Street
A Nightmare on Elm Street 5: The Dream Child,1989,33,22.2,43.8,A Nightmare on Elm Street
A Nightmare on Elm Street (Reboot),2010,15,63.1,70.8,A Nightmare on Elm Street
Freddy's Dead: The Final Nightmare,1991,20,35.9,64.5,A Nightmare on Elm Street
Jason Goes to Hell: The Final Friday,1993,24,15.9,26.9,Friday the 13th
