Date,Address,City,State,lon,lat,Killed,Injured
"November 5, 2017",216 4th St,Sutherland Springs,Texas,-98.05637,29.27325,27,20
"November 4, 2017",N Lamar Blvd and Masterson Pass,Austin,Texas,-97.69242,30.37121,0,4
"November 4, 2017",2810 Market St,Youngstown,Ohio,-80.65817,41.07107,0,4
"November 4, 2017",1515 Ocean Avenue,Santa Monica,California,-118.49565,34.01254,1,3
"November 3, 2017",10th Ave S and E 24th St,Minneapolis,Minnesota,-93.26003,44.95913,0,4
"November 3, 2017",E 163rd St and S Main St,Gardena,California,-118.27586,33.88387,0,4
"November 3, 2017",147 Roosevelt Ave,Buffalo,New York,-78.808,42.93367,0,4
"November 3, 2017",27600 block of Mirmar Street,Lacombe,Louisiana,-89.94292,30.30932,1,4
"October 31, 2017",500 block of Pointe Dr,Hammond,Indiana,-87.51615,41.6091,1,3
"October 29, 2017",5500 block of Ave F,Austin,Texas,-97.71992,30.32011,1,3
"October 28, 2017",1327 N Huron St,Toledo,Ohio,-83.52203,41.66182,0,4
"October 28, 2017",N Sycamore St and Franklin,Petersburg,Virginia,-77.40358,37.22854,1,3
"October 27, 2017",1716 Prentice St,Louisville,Kentucky,-85.78422,38.24069,0,6
"October 27, 2017",1100 block of Fillmore,San Francisco,California,-122.43169,37.77986,0,4
"October 23, 2017",13000 block of Anchor Village,Clearlake Oaks,California,-122.66109,39.02421,2,2
"October 22, 2017",Wethersfield Avenue and Elliott Street,Hartford,Connecticut,-72.673330000000007,41.74642,0,4
"October 22, 2017",1606 19th St Sw,Lanett,Alabama,-85.20592,32.84861,2,7
"October 21, 2017",164 E Eubanks St,Jacksonville,Florida,-81.62235,30.4847,0,4
"October 21, 2017",1277 12th Ave S,Nashville,Tennessee,-86.78853,36.14143,0,4
"October 21, 2017",1200 block of W Carlas Ln,Chester,Pennsylvania,-75.38261,39.84709,0,4
"October 21, 2017",400 Block of E Nordica St,Tampa,Florida,-82.45661,27.97817,0,4
"October 18, 2017",2111 Emmorton Park Rd,Edgewood,Maryland,-76.30991,39.45205,3,3
"October 17, 2017",181 Martense St,Brooklyn,New York,-73.95294,40.65174,0,4
