sex,pidate_mo,phealth,mhealth,worry,raceorig,ageworkforpay,marstat,educ,employ,age,hrswork,income,lifesat,sleep,selfesteem,worksatis,workdauth,workdemands,workcosupp,worksupsupp,workdiscrim,workineq,posworktofam,negworktofam,suppfam,strainfam,suppfriend,strainfriend,suppspouse,strainspouse,mindful,ratelife,rateday
MALE,7,GOOD,EXCELLENT,ABOUT THE SAME,WHITE,18-22,DIVORCED,BACHELOR'S DEGREE,SELF-EMPLOYED,69,50,250000,8,8,41,9,26,13,8,NA,6,1.5,6,4,2.75,2,2.25,2,NA,NA,25,8,8
MALE,6,VERY GOOD,VERY GOOD,MORE,WHITE,< 18,MARRIED,DOCTORAL OR PROF DEGREE,RETIRED,78,NA,240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,EXCELLENT,VERY GOOD,LESS,WHITE,18-22,DIVORCED,MASTER'S DEGREE,OTHER,61,0,125000,8.666666667,7.5,45,8,19,13,7,13,7,1.333333333,10,11,3.5,1.75,3.5,2,NA,NA,36,9,4
FEMALE,11,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,63,45,NA,7,5.5,36,7,23,19,7,12,18,2.666666667,9,11,3.5,2.5,2.25,2.5,3.5,2.166666667,30,7,9
MALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,60,65,190000,6.875,7,38,7,17,13,8,9,7,1.166666667,8,13,2.75,2,2.5,1,1.833333333,2.333333333,35,8,6
FEMALE,3,POOR,GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,SOME COLLEGE,RETIRED,65,NA,839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,8,GOOD,GOOD,MORE,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,60,40,105000,5.875,7,27,6,15,17,8,10,15,1.166666667,11,13,3.5,2,3,2,3,2.666666667,34,7,8
FEMALE,7,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,ASSOC DEGREE,RETIRED,66,NA,25000,9.75,3,40,10,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1,3.5,2.5,4,1.5,36,10,10
MALE,12,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,DOCTORAL OR PROF DEGREE,SELF-EMPLOYED,64,60,3.00E+05,7.625,7,36,8,29,14,8,NA,12,1,14,10,3,1,3,1.25,2.333333333,2.666666667,34,7,7
MALE,6,FAIR,FAIR,MORE,WHITE,< 18,MARRIED,SOME COLLEGE,WORKING NOW,51,45,52000,5,7,17,5,15,16,8,9,22,3,10,14,2.25,2.5,2,2.75,2.666666667,3,32,5,5
