team,season,fci
Minnesota Timberwolves,2000,225.72
Minnesota Timberwolves,2001,228.24
Minnesota Timberwolves,2002,218.11
Minnesota Timberwolves,2003,219.54
Minnesota Timberwolves,2004,220.08
Minnesota Timberwolves,2005,238.39
Minnesota Timberwolves,2006,234.94
Minnesota Timberwolves,2007,231.38
Minnesota Timberwolves,2008,230.04
Minnesota Timberwolves,2009,225.5
Minnesota Timberwolves,2010,221.5
Minnesota Timberwolves,2011,225.5
Minnesota Timberwolves,2012,261.18
Minnesota Timberwolves,2013,273.98
Minnesota Timberwolves,2014,281.06
Minnesota Timberwolves,2015,281.06
Minnesota Twins,2000,102.32
Minnesota Twins,2001,130.33
Minnesota Twins,2002,121.13
Minnesota Twins,2003,127.01
Minnesota Twins,2004,131.68
Minnesota Twins,2005,146.49
Minnesota Twins,2006,149.04
Minnesota Twins,2007,158.07
Minnesota Twins,2008,165.71
Minnesota Twins,2009,169.81
Minnesota Twins,2010,206.88
Minnesota Twins,2011,213.16
Minnesota Twins,2012,225.14
Minnesota Twins,2013,221.36
Minnesota Twins,2014,215.36
Minnesota Twins,2015,229.36
Minnesota Twins,2016,212.12
Minnesota Vikings,2000,274.12
Minnesota Vikings,2001,296.58
Minnesota Vikings,2002,315.45
Minnesota Vikings,2003,325.98
Minnesota Vikings,2004,337.51
Minnesota Vikings,2005,361.72
Minnesota Vikings,2006,379.27
Minnesota Vikings,2007,377.63
Minnesota Vikings,2008,386.92
Minnesota Vikings,2009,386.92
Minnesota Vikings,2010,395.78
Minnesota Vikings,2011,395.78
Minnesota Vikings,2012,415.78
Minnesota Vikings,2013,446.26
Minnesota Vikings,2014,490.62
Minnesota Vikings,2015,474.86
Minnesota Vikings,2016,495.08
Minnesota Wild,2000,267.04
Minnesota Wild,2001,280.96
Minnesota Wild,2002,248.34
Minnesota Wild,2003,262.89
Minnesota Wild,2004,
Minnesota Wild,2005,282.92
Minnesota Wild,2006,293.98
Minnesota Wild,2007,322.46
Minnesota Wild,2008,338.12
Minnesota Wild,2009,340.6
Minnesota Wild,2010,346.01
Minnesota Wild,2011,346.01
Minnesota Wild,2012,353.51
Minnesota Wild,2013,376.55
Minnesota Wild,2014,383.25
