 subregion, number_poverty, per_poverty,pop_size,elderly,per_elderly,land_area_sqmiles,pop_per_sqmile,high_school,housing,single_parent,white,per_white,black,per_black,am_indian,per_am_indian,asian,per_asian,races,per_races,ethnicity,per_ethnicity
aitkin,1870,11.9,15742,4645,29.5,"1,819",8.7,51.1,84.2,30.8,14978,95.15,69,0.44,412,2.62,41,0.26,242,1.54,194,1.23
anoka,25217,7.6,339534,38579,11.4,424,800.8,36,83,22.5,296457,87.31,17240,5.08,2710,0.8,14380,4.24,8747,2.58,14078,4.15
becker,4364,13.5,33231,6252,18.8,"1,311",25.3,42.5,81.6,28.5,29184,87.82,188,0.57,2589,7.79,192,0.58,1078,3.24,637,1.92
beltrami,8828,20.5,45670,6375,14,"2,505",18.2,37.7,71.6,39.2,34019,74.49,322,0.71,9503,20.81,379,0.83,1447,3.17,944,2.07
benton,5442,14.2,39214,5178,13.2,408,96.1,42.8,76.5,28.4,37077,94.55,872,2.22,183,0.47,444,1.13,638,1.63,808,2.06
big stone,668,13.2,5122,1320,25.8,497,10.3,52,83,22.4,5026,98.13,18,0.35,34,0.66,5,0.1,39,0.76,71,1.39
blue earth,11569,18.9,65528,8219,12.5,752,87.1,35.3,69.4,22.6,60595,92.47,2098,3.2,248,0.38,1574,2.4,1013,1.55,2030,3.1
brown,2044,8.4,25332,5016,19.8,611,41.5,47.9,82.2,23.7,24853,98.11,89,0.35,49,0.19,182,0.72,159,0.63,933,3.68
carlton,4703,13.7,35460,5658,16,860,41.2,42.9,80.8,28,31737,89.5,569,1.6,2098,5.92,215,0.61,841,2.37,628,1.77
carver,4064,4.4,95562,9164,9.6,357,267.7,26.2,85.2,14.3,89565,93.72,1400,1.47,269,0.28,2836,2.97,1492,1.56,4055,4.24
cass,4781,17,28555,6682,23.4,"2,018",14.2,45.1,81.7,31.5,24314,85.15,91,0.32,3400,11.91,115,0.4,635,2.22,485,1.7
chippewa,1339,11.2,12093,2410,19.9,583,20.7,46.8,74.8,25.1,11539,95.42,80,0.66,132,1.09,186,1.54,156,1.29,639,5.28
chisago,3368,6.4,53761,7199,13.4,418,128.6,42,87.7,23.3,51514,95.82,718,1.34,366,0.68,484,0.9,679,1.26,1068,1.99
clay,7224,12.9,60661,7549,12.4,"1,045",58,35.3,74.2,23.6,56655,93.4,962,1.59,929,1.53,867,1.43,1248,2.06,2565,4.23
clearwater,1442,16.7,8838,1676,19,995,8.9,53.8,80.9,25.1,7674,86.83,34,0.38,819,9.27,37,0.42,274,3.1,161,1.82
cook,446,8.7,5200,1232,23.7,"1,451",3.6,32.8,77.8,37.5,4542,87.35,36,0.69,453,8.71,32,0.62,137,2.63,100,1.92
cottonwood,1846,16.2,11616,2601,22.4,640,18.2,50.1,82.1,24.8,10920,94.01,107,0.92,45,0.39,364,3.13,180,1.55,867,7.46
crow wing,7330,11.8,63208,12734,20.1,997,63.4,38.8,76.9,29.2,61034,96.56,369,0.58,569,0.9,303,0.48,933,1.48,897,1.42
dakota,31284,7.8,408509,47591,11.6,570,716.7,27.5,78.4,23.6,354163,86.7,22054,5.4,2091,0.51,19545,4.78,10656,2.61,27998,6.85
dodge,1349,6.7,20349,2639,13,440,46.2,40.7,88,22.4,19805,97.33,127,0.62,61,0.3,115,0.57,241,1.18,1006,4.94
douglas,3564,10,36545,7733,21.2,634,57.6,38.5,81.2,19.2,35682,97.64,188,0.51,131,0.36,193,0.53,351,0.96,538,1.47
faribault,1845,13.2,14191,3185,22.4,714,19.9,50.7,80.1,31.8,13880,97.81,61,0.43,74,0.52,57,0.4,119,0.84,873,6.15
fillmore,2327,11.4,20835,4172,20,861,24.2,47.9,81.9,21.2,20485,98.32,60,0.29,33,0.16,94,0.45,163,0.78,253,1.21
freeborn,3514,11.5,30948,6573,21.2,708,43.7,49.2,79.7,37.3,29709,96,327,1.06,132,0.43,413,1.33,367,1.19,2921,9.44
goodhue,4738,10.4,46464,8373,18,759,61.2,41.1,81.4,24,44268,95.27,563,1.21,608,1.31,352,0.76,673,1.45,1486,3.2
