long,lat,OBJECTID,ProviderId,ProviderName,ServiceName,CreateDate,ModifyDate,ProviderType,ProviderWebSite,LocationName,AddressLine1,AddressLine2,City,State,County,MailAddressLine1,MailCity,MailState,MailZipCode,EmailAddress,PhoneNumber
-93.42734151,44.91299461,1,13101030,Intercongregation Communities Association - ICA,Food Shelf,4/2/02,1/6/16,Non-profit,http://www.icafoodshelf.org/home.html,ICA at K-Tel,11588 K Tel Dr,,Minnetonka,MN,Hennepin,12990 Saint Davids Rd,Minnetonka,MN,55305-4117,ica@icafoodshelf.org,9529380729
-93.25713831,44.9596177,2,13103915,Pillsbury United Communities,Food Shelf - multiple locations in Minneapolis,9/30/09,2/10/16,Non-Profit,http://www.puc-mn.org,Pillsbury United Communities - Waite House,2323 11th Avenue S,,Minneapolis,MN,Hennepin,2323 11th Avenue S,Minneapolis,MN,55412-2006,dunlapl@puc-mn.org,6127211681
-93.52943753,45.18903046,3,13101230,Christians Reaching Out in Social Service (CROSS),Food Shelf - Supplemental,8/16/01,12/28/15,Faith Community,http://crossservices.org,*Main Site (Christians Reaching Out in Social Service (CROSS)),12915 Weinand Cir,,Rogers,MN,Hennepin,PO Box 574,Rogers,MN,55374-0574,info@crossservices.org,7634251050
-93.24880746,44.97326604,4,13103838,Lovepower Church,Food and Clothing,9/4/09,4/16/15,Faith Community,http://www.lovepowerministries.org,*Main Site (Lovepower Church),1407 Washington Ave S,,Minneapolis,MN,Hennepin,521 79th Ave NE,Minneapolis,MN,55432-2734,,7635602059
-93.44411748,44.94093025,5,13101030,Intercongregation Communities Association - ICA,Food Shelf,4/2/02,1/6/16,Non-profit,http://www.icafoodshelf.org/contact_us.html,*Main Site (ICA at Saint Davids),12990 Saint Davids Rd,,Minnetonka,MN,Hennepin,12990 Saint Davids Rd,Minnetonka,MN,55305-4117,ica@icafoodshelf.org,9529380729
-93.46376328,44.86391001,6,13101098,People Reaching Out to Other People (PROP),Food Shelf,6/25/01,10/21/15,Non-Profit,http://propfood.org/get-help/food-program/,*Main Site (People Reaching Out to Other People (PROP)),14700 Martin Dr,,Eden Prairie,MN,Hennepin,14700 Martin Dr,Eden Prairie,MN,55344-2010,prop@propfood.org,9529379120
-93.30830443,44.9920528,7,13100915,NorthPoint Health and Wellness Center,Food Shelf - Supplemental,10/28/05,4/11/16,Non-Profit,http://www.northpointhealth.org/community-food-shelf,NorthPoint Human Services Building,1315 Penn Ave N,,Minneapolis,MN,Hennepin,1315 Penn Ave N,Minneapolis,MN,55411-3047,,6127679500
-93.50265337,44.99659728,8,13101304,Interfaith Outreach & Community Partners (IOCP),Food Shelf,3/28/02,10/26/15,Non-profit,http://iocp.org/programs/food-shelf,*Main Site (Interfaith Outreach & Community Partners (IOCP)),1605 County Road 101 N,,Plymouth,MN,Hennepin,1605 County Road 101 N,Plymouth,MN,55447-2708,lvettel@iocp.org,7634897500
-93.28875319,44.99715654,9,13848,Masjid An-Nur,Food Shelf - Al-Maa'uun,12/19/14,3/2/16,Non-profit,http://masjidannur.org,*Main Site (Masjid An-Nur),1729 Lyndale Ave N,,Minneapolis,MN,Hennepin,1729 Lyndale Ave N,Minneapolis,MN,55411-3349,info@masjidannur.org,6125211749
-93.25956868,45.00375571,10,12571,Grace Lutheran of NE Minneapolis,Food Shelf - Little Kitchen,9/5/13,2/11/16,Faith Community,http://gracenempls.org/community-services/little-kitchen-food-shelf/,*Main Site (Grace Lutheran of NE Minneapolis),1500 6th St NE,,Minneapolis,MN,Hennepin,1500 6th St NE,Minneapolis,MN,55413-1319,jennifer@necommunity.net,6127882444
