previous_wins,playoffs,teams
0,Missed playoffs,0
1,Missed playoffs,2
2,Missed playoffs,0
3,Missed playoffs,0
4,Missed playoffs,2
5,Missed playoffs,2
6,Missed playoffs,1
7,Missed playoffs,5
8,Missed playoffs,5
9,Missed playoffs,2
10,Missed playoffs,1
11,Missed playoffs,3
12,Missed playoffs,2
13,Missed playoffs,2
14,Missed playoffs,0
15,Missed playoffs,0
16,Missed playoffs,0
0,Made playoffs,0
1,Made playoffs,0
2,Made playoffs,1
3,Made playoffs,1
4,Made playoffs,0
5,Made playoffs,2
6,Made playoffs,4
7,Made playoffs,4
8,Made playoffs,12
9,Made playoffs,10
10,Made playoffs,8
11,Made playoffs,9
12,Made playoffs,9
13,Made playoffs,8
14,Made playoffs,1
15,Made playoffs,0
16,Made playoffs,0
