award,sex
Nobel Prize,Female
Nobel Prize,Female
Olympic Gold Medal,Female
Nobel Prize,Female
Academy Award,Female
Nobel Prize,Male
Nobel Prize,Female
Olympic Gold Medal,Female
Olympic Gold Medal,Female
Olympic Gold Medal,Female
Nobel Prize,Female
Nobel Prize,Female
Nobel Prize,Female
Academy Award,Female
Academy Award,Female
Academy Award,Female
Nobel Prize,Female
Nobel Prize,Female
Nobel Prize,Male
Olympic Gold Medal,Female
Nobel Prize,Female
Olympic Gold Medal,Female
Academy Award,Female
Nobel Prize,Male
Academy Award,Male
Nobel Prize,Female
Nobel Prize,Female
Academy Award,Female
Nobel Prize,Female
Academy Award,Female
Olympic Gold Medal,Male
Nobel Prize,Male
Nobel Prize,Female
Nobel Prize,Female
