State,Name,Sex,Party,Born,Age,Assumed_office,Seat_up
Alabama,Richard Shelby,Male,Republican,6-May-34,83,3-Jan-87,2022
Alabama,Luther Strange,Male,Republican,1-Mar-53,64,9-Feb-17,2017
Alaska,Lisa Murkowski,Female,Republican,22-May-57,60,20-Dec-02,2022
Alaska,Dan Sullivan,Male,Republican,13-Nov-64,52,3-Jan-15,2020
Arizona,John McCain,Male,Republican,29-Aug-36,81,3-Jan-87,2022
Arizona,Jeff Flake,Male,Republican,31-Dec-62,54,3-Jan-13,2018
Arkansas,John Boozman,Male,Republican,10-Dec-50,66,3-Jan-11,2022
Arkansas,Tom Cotton,Male,Republican,13-May-77,40,3-Jan-15,2020
California,Dianne Feinstein,Female,Democrat,22-Jun-33,84,10-Nov-92,2018
California,Kamala Harris,Female,Democrat,20-Oct-64,52,3-Jan-17,2022
Colorado,Michael Bennet,Male,Democrat,28-Nov-64,52,21-Jan-09,2022
Colorado,Cory Gardner,Male,Republican,22-Aug-74,43,3-Jan-15,2020
Connecticut,Richard Blumenthal,Male,Democrat,13-Feb-46,71,5-Jan-11,2022
Connecticut,Chris Murphy,Male,Democrat,3-Aug-73,44,3-Jan-13,2018
Delaware,Tom Carper,Male,Democrat,23-Jan-47,70,3-Jan-01,2018
Delaware,Chris Coons,Male,Democrat,9-Sep-63,54,15-Nov-10,2020
Florida,Bill Nelson,Male,Democrat,29-Sep-42,75,3-Jan-01,2018
Florida,Marco Rubio,Male,Republican,28-May-71,46,3-Jan-11,2022
Georgia,Johnny Isakson,Male,Republican,28-Dec-44,72,3-Jan-05,2022
Georgia,David Perdue,Male,Republican,10-Dec-49,67,3-Jan-15,2020
Hawaii,Brian Schatz,Male,Democrat,20-Oct-72,44,26-Dec-12,2022
Hawaii,Mazie Hirono,Female,Democrat,3-Nov-47,69,3-Jan-13,2018
Idaho,Mike Crapo,Male,Republican,20-May-51,66,3-Jan-99,2022
Idaho,Jim Risch,Male,Republican,3-May-43,74,3-Jan-09,2020
Illinois,Dick Durbin,Male,Democrat,21-Nov-44,72,3-Jan-97,2020
Illinois,Tammy Duckworth,Female,Democrat,12-Mar-68,49,3-Jan-17,2022
Indiana,Joe Donnelly,Male,Democrat,29-Sep-55,62,3-Jan-13,2018
Indiana,Todd Young,Male,Republican,24-Aug-72,45,3-Jan-17,2022
Iowa,Chuck Grassley,Male,Republican,17-Sep-33,84,3-Jan-81,2022
Iowa,Joni Ernst,Female,Republican,1-Jul-70,47,3-Jan-15,2020
Kansas,Pat Roberts,Male,Republican,20-Apr-36,81,3-Jan-97,2020
Kansas,Jerry Moran,Male,Republican,29-May-54,63,3-Jan-11,2022
Kentucky,Mitch McConnell,Male,Republican,20-Feb-42,75,3-Jan-85,2020
Kentucky,Rand Paul,Male,Republican,7-Jan-63,54,3-Jan-11,2022
Louisiana,Bill Cassidy,Male,Republican,28-Sep-57,60,3-Jan-15,2020
Louisiana,John N. Kennedy,Male,Republican,21-Nov-51,65,3-Jan-17,2022
Maine,Susan Collins,Female,Republican,7-Dec-52,64,3-Jan-97,2020
Maine,Angus King,Male,Independent,31-Mar-44,73,3-Jan-13,2018
Maryland,Ben Cardin,Male,Democrat,5-Oct-43,73,3-Jan-07,2018
Maryland,Chris Van Hollen,Male,Democrat,10-Jan-59,58,3-Jan-17,2022
Massachusetts,Elizabeth Warren,Female,Democrat,22-Jun-49,68,3-Jan-13,2018
Massachusetts,Ed Markey,Male,Democrat,11-Jul-46,71,16-Jul-13,2020
Michigan,Debbie Stabenow,Female,Democrat,29-Apr-50,67,3-Jan-01,2018
Michigan,Gary Peters,Male,Democrat,1-Dec-58,58,3-Jan-15,2020
Minnesota,Amy Klobuchar,Female,Democrat,25-May-60,57,3-Jan-07,2018
Minnesota,Al Franken,Male,Democrat,21-May-51,66,9-Jul-09,2020
Mississippi,Thad Cochran,Male,Republican,7-Dec-37,79,27-Dec-78,2020
Mississippi,Roger Wicker,Male,Republican,5-Jul-51,66,31-Dec-07,2018
Missouri,Claire McCaskill,Female,Democrat,24-Jul-53,64,3-Jan-07,2018
Missouri,Roy Blunt,Male,Republican,10-Jan-50,67,3-Jan-11,2022
Montana,Jon Tester,Male,Democrat,21-Aug-56,61,3-Jan-07,2018
Montana,Steve Daines,Male,Republican,20-Aug-62,55,3-Jan-15,2020
Nebraska,Deb Fischer,Female,Republican,1-Mar-51,66,3-Jan-13,2018
Nebraska,Ben Sasse,Male,Republican,22-Feb-72,45,3-Jan-15,2020
Nevada,Dean Heller,Male,Republican,10-May-60,57,9-May-11,2018
Nevada,Catherine Cortez Masto,Female,Democrat,29-Mar-64,53,3-Jan-17,2022
New Hampshire,Jeanne Shaheen,Female,Democrat,28-Jan-47,70,3-Jan-09,2020
New Hampshire,Maggie Hassan,Female,Democrat,27-Feb-58,59,3-Jan-17,2022
New Jersey,Bob Menendez,Male,Democrat,1-Jan-54,63,18-Jan-06,2018
