Location,Year,Rate
United States,1984,27.4
United States,1986,26.5
United States,1988,24.3
United States,1990,22.7
United States,1992,23
United States,1993,22.6
United States,1995,22.7
United States,1996,23.5
United States,1997,23.2
United States,1998,22.9
United States,1999,22.8
United States,2000,23.2
United States,2001,23.2
United States,2002,23.2
United States,2003,22
United States,2004,20.9
United States,2005,20.6
United States,2006,20.1
United States,2007,19.8
United States,2008,18.4
United States,2009,17.9
Alabama,1984,NA
Alabama,1986,24.6
Alabama,1988,26.2
Alabama,1990,22.4
Alabama,1992,21.9
Alabama,1993,18.5
Alabama,1995,24.5
Alabama,1996,22.5
Alabama,1997,24.7
Alabama,1998,24.6
Alabama,1999,23.5
Alabama,2000,25.2
Alabama,2001,23.9
Alabama,2002,24.4
Alabama,2003,25.3
Alabama,2004,24.8
Alabama,2005,24.8
Alabama,2006,23.2
Alabama,2007,22.5
Alabama,2008,22.1
Alabama,2009,22.5
Alaska,1984,NA
Alaska,1986,NA
Alaska,1988,NA
Alaska,1990,NA
Alaska,1992,28.8
Alaska,1993,26.6
Alaska,1995,25
Alaska,1996,27.7
Alaska,1997,26.7
Alaska,1998,26
Alaska,1999,27.2
Alaska,2000,25
Alaska,2001,26.1
Alaska,2002,29.3
Alaska,2003,26.2
Alaska,2004,24.8
Alaska,2005,24.9
Alaska,2006,24
Alaska,2007,22.2
Alaska,2008,21.5
Alaska,2009,20.6
Arizona,1984,27.7
Arizona,1986,24.4
Arizona,1988,23.5
Arizona,1990,20.7
Arizona,1992,19.5
Arizona,1993,20.7
Arizona,1995,22.9
Arizona,1996,23.8
Arizona,1997,21.1
Arizona,1998,21.9
Arizona,1999,20
Arizona,2000,18.6
Arizona,2001,21.5
Arizona,2002,23.4
Arizona,2003,20.8
Arizona,2004,18.5
Arizona,2005,20.2
Arizona,2006,18.2
Arizona,2007,19.8
Arizona,2008,15.9
Arizona,2009,16.1
Arkansas,1984,NA
Arkansas,1986,NA
Arkansas,1988,NA
Arkansas,1990,NA
Arkansas,1992,NA
Arkansas,1993,26.4
Arkansas,1995,25.2
Arkansas,1996,25.4
Arkansas,1997,28.5
Arkansas,1998,26
Arkansas,1999,27.2
Arkansas,2000,25.1
Arkansas,2001,25.6
Arkansas,2002,26.3
Arkansas,2003,24.8
Arkansas,2004,25.5
Arkansas,2005,23.5
Arkansas,2006,23.7
Arkansas,2007,22.4
Arkansas,2008,22.3
Arkansas,2009,21.5
California,1984,25.6
California,1986,24.5
California,1988,22.2
California,1990,19.7
California,1992,20.1
California,1993,18.4
California,1995,15.5
California,1996,18.6
California,1997,18.4
California,1998,19.2
California,1999,18.7
California,2000,17.2
California,2001,17.2
California,2002,16.4
California,2003,16.8
California,2004,14.7
California,2005,15.2
California,2006,14.9
California,2007,14.3
California,2008,14
California,2009,12.9
Colorado,1984,NA
Colorado,1986,NA
Colorado,1988,NA
Colorado,1990,21.3
Colorado,1992,23.8
Colorado,1993,23.8
Colorado,1995,21.8
Colorado,1996,22.8
Colorado,1997,22.6
Colorado,1998,22.8
Colorado,1999,22.5
Colorado,2000,20
Colorado,2001,22.4
Colorado,2002,20.4
Colorado,2003,18.6
Colorado,2004,20
Colorado,2005,19.8
Colorado,2006,17.9
Colorado,2007,18.7
Colorado,2008,17.6
Colorado,2009,17.1
Connecticut,1984,NA
Connecticut,1986,NA
Connecticut,1988,26.7
Connecticut,1990,22.2
Connecticut,1992,22.3
Connecticut,1993,20.6
Connecticut,1995,20.8
Connecticut,1996,21.9
Connecticut,1997,21.8
Connecticut,1998,21.1
Connecticut,1999,22.8
Connecticut,2000,19.9
Connecticut,2001,20.8
Connecticut,2002,19.4
Connecticut,2003,18.6
Connecticut,2004,18
Connecticut,2005,16.5
Connecticut,2006,17
Connecticut,2007,15.4
Connecticut,2008,15.9
Connecticut,2009,15.4
D.C.,1984,NA
D.C.,1986,26.6
D.C.,1988,20
D.C.,1990,19.4
D.C.,1992,19.7
D.C.,1993,16.4
D.C.,1995,NA
D.C.,1996,20.6
D.C.,1997,18.8
D.C.,1998,21.6
D.C.,1999,20.6
D.C.,2000,20.9
D.C.,2001,20.8
D.C.,2002,20.4
D.C.,2003,22
D.C.,2004,20.8
D.C.,2005,20
D.C.,2006,17.9
D.C.,2007,17.2
D.C.,2008,16.2
D.C.,2009,15.3
Delaware,1984,NA
Delaware,1986,NA
Delaware,1988,NA
Delaware,1990,23.3
Delaware,1992,27.9
Delaware,1993,26
Delaware,1995,25.5
Delaware,1996,24.2
Delaware,1997,26.6
Delaware,1998,24.5
Delaware,1999,25.4
Delaware,2000,22.9
Delaware,2001,25.1
Delaware,2002,24.7
Delaware,2003,21.9
Delaware,2004,24.3
Delaware,2005,20.6
Delaware,2006,21.7
Delaware,2007,18.9
Delaware,2008,17.7
Delaware,2009,18.3
Florida,1984,NA
Florida,1986,27.9
Florida,1988,23.9
Florida,1990,23.6
Florida,1992,22.6
Florida,1993,22
Florida,1995,23.1
Florida,1996,21.8
Florida,1997,23.6
Florida,1998,22
Florida,1999,20.7
Florida,2000,23.2
Florida,2001,22.5
Florida,2002,22
Florida,2003,23.9
Florida,2004,20.2
Florida,2005,21.7
Florida,2006,21
Florida,2007,19.3
Florida,2008,17.5
Florida,2009,17.1
Georgia,1984,NA
Georgia,1986,27.2
Georgia,1988,25.1
Georgia,1990,24
Georgia,1992,19.4
Georgia,1993,23.9
Georgia,1995,20.5
Georgia,1996,20.3
Georgia,1997,22.4
Georgia,1998,23.7
Georgia,1999,23.7
Georgia,2000,23.5
Georgia,2001,23.7
Georgia,2002,23.2
Georgia,2003,22.8
Georgia,2004,19.9
Georgia,2005,22.1
Georgia,2006,19.9
Georgia,2007,19.4
Georgia,2008,19.5
Georgia,2009,17.7
Hawaii,1984,NA
Hawaii,1986,24.4
Hawaii,1988,23.6
Hawaii,1990,21.1
Hawaii,1992,19.9
Hawaii,1993,18.9
Hawaii,1995,17.8
Hawaii,1996,NA
Hawaii,1997,18.6
Hawaii,1998,19.5
Hawaii,1999,18.6
Hawaii,2000,19.7
Hawaii,2001,20.6
Hawaii,2002,21
Hawaii,2003,17.2
Hawaii,2004,17.2
Hawaii,2005,17
Hawaii,2006,17.5
Hawaii,2007,17
Hawaii,2008,15.4
Hawaii,2009,15.4
Idaho,1984,24.5
Idaho,1986,23.4
Idaho,1988,20.1
Idaho,1990,20.4
Idaho,1992,19.4
Idaho,1993,20.2
Idaho,1995,19.8
Idaho,1996,21.2
Idaho,1997,19.9
Idaho,1998,20.3
Idaho,1999,21.5
Idaho,2000,22.3
