age,number_text,preference,sex,smartphone,phone_type,email,text,picture,music,record_video,play_game,access_internet
51,6,It depends,Female,No,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
58,2,Call,Female,Yes,Blackberry,Yes,Yes,Yes,No,No,Yes,Yes
61,3,Call,Male,Yes,Android,Yes,Yes,Yes,No,No,No,Yes
44,10,Call,Female,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
40,3,Text,Female,No,iPhone,No,Yes,Yes,No,No,No,No
44,10,Call,Male,No,Palm,No,Yes,No,No,No,No,No
35,50,Text,Female,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
99,3,Call,Female,Yes,Blackberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes
25,10,Call,Male,Yes,Blackberry,Yes,Yes,No,No,No,Yes,Yes
61,1,Call,Female,Yes,Windows phone,Yes,Yes,No,No,No,No,No
50,20,Call,Female,Yes,Blackberry,Yes,Yes,Yes,No,No,No,Yes
99,2,Call,Female,Yes,Blackberry,No,Yes,Yes,Yes,No,No,No
41,15,It depends,Female,Yes,Blackberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes
65,20,Call,Male,Yes,Android,Yes,Yes,Yes,No,No,Yes,Yes
22,20,Call,Male,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,100,Text,Female,Yes,Android,Yes,Yes,Yes,Yes,No,No,Yes
45,30,Text,Female,Yes,Android,Yes,Yes,Yes,Yes,Yes,No,Yes
46,10,Text,Female,Yes,Android,Yes,Yes,Yes,No,Yes,No,Yes
42,5,Call,Female,Yes,iPhone,No,Yes,Yes,Yes,Yes,No,No
48,100,Call,Female,Yes,Android,Yes,Yes,Yes,No,Yes,Yes,Yes
69,1,Text,Male,Yes,iPhone,Yes,Yes,Yes,Yes,No,Yes,Yes
50,6,Call,Female,Yes,Blackberry,No,Yes,Yes,No,No,Yes,Yes
57,10,Call,Female,No,iPhone,Yes,Yes,Yes,No,No,Yes,Yes
24,120,Text,Female,Yes,Blackberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes
42,20,Call,Male,Yes,Blackberry,Yes,Yes,Yes,No,Yes,No,Yes
18,40,Call,Male,Yes,iPhone,Yes,Yes,Yes,Yes,Yes,Yes,Yes
43,0,Call,Female,Yes,iPhone,Yes,Yes,Yes,Yes,No,Yes,Yes
32,6,Call,Male,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
47,10,Call,Female,Yes,Palm,Yes,Yes,Yes,No,Yes,No,Yes
32,10,Call,Female,Yes,Blackberry,Yes,Yes,Yes,No,No,No,Yes
58,20,Call,Male,Yes,iPhone,Yes,Yes,Yes,No,No,No,Yes
65,2,Call,Female,No,Blackberry,No,Yes,Yes,No,No,Yes,No
49,20,Text,Female,Yes,iPhone,Yes,Yes,Yes,Yes,Yes,Yes,Yes
38,100,Call,Male,Yes,Blackberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes
60,2,Call,Male,Yes,iPhone,Yes,Yes,Yes,Yes,Yes,Yes,Yes
46,15,Text,Female,Yes,Blackberry,Yes,Yes,Yes,No,No,Yes,Yes
43,0,Call,Male,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32,50,Text,Female,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
39,20,Text,Female,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
45,20,Call,Male,No,Palm,No,Yes,Yes,No,No,No,No
32,60,It depends,Female,Yes,iPhone,Yes,Yes,Yes,Yes,Yes,Yes,Yes
47,20,Text,Female,Yes,Palm,Yes,Yes,Yes,No,No,No,Yes
99,40,Text,Female,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
51,25,Text,Female,Yes,Android,Yes,Yes,Yes,Yes,No,No,Yes
34,25,Call,Male,Yes,Blackberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes
52,1,Call,Male,Yes,Blackberry,Yes,Yes,No,No,No,No,Yes
57,10,Text,Female,Yes,iPhone,No,Yes,Yes,Yes,Yes,No,Yes
29,400,Text,Male,Yes,Android,Yes,Yes,Yes,Yes,Yes,No,Yes
44,1,Call,Male,Yes,Blackberry,Yes,Yes,Yes,No,No,No,Yes
53,20,It depends,Female,Yes,iPhone,Yes,Yes,Yes,Yes,No,Yes,Yes
37,20,Call,Female,Yes,Blackberry,No,Yes,Yes,Yes,Yes,Yes,Yes
99,5,Text,Female,Yes,Android,Yes,Yes,Yes,Yes,No,Yes,Yes
62,15,Call,Male,Yes,Android,No,Yes,Yes,No,No,No,Yes
43,10,Text,Female,Yes,Android,Yes,Yes,Yes,No,Yes,No,Yes
99,2,Call,Male,Yes,Blackberry,Yes,Yes,Yes,No,No,No,Yes
69,10,It depends,Female,Yes,iPhone,Yes,Yes,Yes,Yes,Yes,Yes,Yes
68,10,It depends,Female,Yes,iPhone,Yes,Yes,Yes,Yes,Yes,Yes,Yes
55,1,Call,Female,Yes,Blackberry,Yes,Yes,Yes,No,No,No,Yes
45,20,Text,Male,Yes,Blackberry,Yes,Yes,Yes,Yes,Yes,No,Yes
68,1,Call,Female,No,Android,No,Yes,Yes,No,No,No,Yes
30,1,Call,Male,Yes,Android,Yes,Yes,Yes,Yes,No,Yes,Yes
39,1,Call,Female,Yes,Android,No,Yes,Yes,No,Yes,No,Yes
21,300,It depends,Male,Yes,Android,Yes,Yes,Yes,Yes,Yes,Yes,Yes
39,25,Call,Male,Yes,Android,No,Yes,Yes,No,Yes,No,Yes
31,10,Text,Female,No,Android,Yes,Yes,Yes,Yes,No,No,Yes
34,100,Call,Female,Yes,Blackberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes
