Gift,Year,Percent
Candy,Year 2014,48.7
Flowers,Year 2014,37.3
Jewelry,Year 2014,18.9
Greeting Cards,Year 2014,51.2
An evening out,Year 2014,37
Clothing,Year 2014,15.8
Gift card/gift certificate,Year 2014,14
Candy,Year 2015,53.2
Flowers,Year 2015,37.8
Jewelry,Year 2015,21.1
Greeting Cards,Year 2015,51.4
An evening out,Year 2015,35.1
Clothing,Year 2015,16.3
Gift card/gift certificate,Year 2015,14.8
Candy,Year 2016,50
Flowers,Year 2016,36.4
Jewelry,Year 2016,19.9
Greeting Cards,Year 2016,47.9
An evening out,Year 2016,38.3
Clothing,Year 2016,17.2
Gift card/gift certificate,Year 2016,15.4
