country,fertility_rate,life_expectancy,region,population
Algeria,2.74,76.8,Africa,40263711
Angola,5.31,56,Africa,20172332
Benin,4.86,61.9,Africa,10741458
Botswana,2.3,54.5,Africa,2209208
Burkina Faso,5.79,55.5,Africa,19512533
Burundi,6.04,60.5,Africa,11099298
Cabo Verde,2.26,72.1,Africa,553432
Cameroon,4.7,58.5,Africa,24360803
Central African Republic,4.36,52.3,Africa,5507257
Chad,4.45,50.2,Africa,11852462
Comoros,3.47,64.2,Africa,794678
Congo (Brazzaville),4.63,59.3,Africa,4852412
Congo (Kinshasa),4.53,57.3,Africa,81331050
Cote d'Ivoire,3.46,58.7,Africa,23740424
Djibouti,2.35,63.2,Africa,846687
Egypt,3.53,72.7,Africa,94666993
Equatorial Guinea,4.48,64.2,Africa,759451
Eritrea,4.07,64.9,Africa,5869869
Ethiopia,5.07,62.2,Africa,102374044
Gabon,4.43,52.1,Africa,1738541
"Gambia, The",3.63,64.9,Africa,2009648
Ghana,4.03,66.6,Africa,26908262
Guinea,4.82,60.6,Africa,12093349
Guinea-Bissau,4.16,50.6,Africa,1759159
Kenya,3.14,64,Africa,46790758
Lesotho,2.68,53,Africa,1953070
Liberia,4.6,59,Africa,4299944
Libya,2.04,76.5,Africa,6541948
Madagascar,4.12,65.9,Africa,24430325
Malawi,5.54,61.2,Africa,18570321
Mali,5.95,55.8,Africa,17467108
Mauritania,3.93,63,Africa,3677293
Mauritius,1.75,75.6,Africa,1348242
Morocco,2.12,76.9,Africa,33655786
Mozambique,5.15,53.3,Africa,25930150
Namibia,3.36,63.6,Africa,2436469
Niger,6.62,55.5,Africa,18638600
Nigeria,5.13,53.4,Africa,186053386
Rwanda,4.46,60.1,Africa,12988423
Saint Helena,1.58,79.5,Africa,7813
Sao Tome and Principe,4.4,64.9,Africa,197541
Senegal,4.36,61.7,Africa,14320055
Seychelles,1.86,74.7,Africa,93186
Sierra Leone,4.76,58.2,Africa,6018888
Somalia,5.89,52.4,Africa,10817354
South Africa,2.31,63.1,Africa,54300704
South Sudan,5.19,61.2,Africa,12530717
Sudan,3.68,64.1,Africa,36729501
Swaziland,2.74,51.6,Africa,1451428
Tanzania,4.83,62.2,Africa,52482726
Togo,4.43,65,Africa,7756937
Tunisia,1.98,76.1,Africa,11134588
Uganda,5.8,55.4,Africa,38319241
Western Sahara,3.93,63,Africa,587020
Zambia,5.67,52.5,Africa,15510711
Zimbabwe,3.5,58,Africa,14546961
Afghanistan,5.22,51.3,Asia,33332025
Armenia,1.64,74.6,Asia,3051250
Azerbaijan,1.9,72.5,Asia,9872765
Bahrain,1.77,78.9,Asia,1378904
Bangladesh,2.19,73.2,Asia,156186882
Bhutan,1.93,70.1,Asia,750125
Brunei,1.79,77.2,Asia,436620
Burma,2.15,66.6,Asia,56890418
Cambodia,2.56,64.5,Asia,15957223
China,1.6,75.5,Asia,1373541278
Cyprus,1.47,78.7,Asia,1205575
Gaza Strip,4.3,73.9,Asia,1753327
Georgia,1.76,76.2,Asia,4928052
Hong Kong,1.19,82.9,Asia,7167403
India,2.45,68.5,Asia,1266883598
Indonesia,2.13,72.7,Asia,258316051
Iran,1.83,71.4,Asia,82801633
Iraq,4.06,74.9,Asia,38146025
Israel,2.66,82.4,Asia,8174527
Japan,1.41,85,Asia,126702133
Jordan,3.18,74.6,Asia,8185384
Kazakhstan,2.28,70.8,Asia,18360353
"Korea, North",1.96,70.4,Asia,25115311
"Korea, South",1.25,82.4,Asia,50924172
Kuwait,2.44,78,Asia,2832776
Kyrgyzstan,2.64,70.7,Asia,5727553
Laos,2.76,64.3,Asia,7019073
Lebanon,1.73,77.6,Asia,6237738
Macau,0.94,84.5,Asia,597425
Malaysia,2.53,75,Asia,30949962
Maldives,1.73,75.6,Asia,392960
Mongolia,2.13,69.6,Asia,3031330
Nepal,2.18,70.7,Asia,29033914
Oman,2.84,75.5,Asia,3355262
Pakistan,2.68,67.7,Asia,201995540
Philippines,3.06,69.2,Asia,102624209
Qatar,1.9,78.7,Asia,2258283
Saudi Arabia,2.11,75.3,Asia,28160273
Singapore,0.82,85,Asia,5781728
Sri Lanka,2.09,76.8,Asia,22235000
Syria,2.55,74.9,Asia,17185170
Taiwan,1.12,80.1,Asia,23464787
Tajikistan,2.67,67.7,Asia,8330946
Thailand,1.51,74.7,Asia,68200824
Timor-Leste,4.9,68.1,Asia,1261072
Turkey,2.03,74.8,Asia,80274604
Turkmenistan,2.08,70.1,Asia,5291317
United Arab Emirates,2.33,77.5,Asia,5927482
Uzbekistan,1.78,73.8,Asia,29473614
Vietnam,1.82,73.4,Asia,95261021
West Bank,3.33,75,Asia,2697687
Yemen,3.77,65.5,Asia,27392779
Albania,1.51,78.3,Europe,3038594
